"","HHSTFIPS","TRAVDAY","WHYTRP90","period","tot_period","tot","prop"
"307","01",6,"Visit Friends",4,36548.767557,907816564.438451,0
"308","01",6,"Visit Friends",5,14615777.878976,907816564.438451,1.61
"309","01",6,"Other Social/Rec",8,707385.626675,907816564.438451,0.08
"310","01",6,"Other Social/Rec",7,18382423.444445,907816564.438451,2.02
"311","01",6,"work-related",7,165326.01976,907816564.438451,0.02
"312","01",7,"work",5,70160.017892,252765943.788248,0.03
"313","01",7,"Visit Friends",6,740448.56655,252765943.788248,0.29
"314","01",7,"work",3,1590667.97931,252765943.788248,0.63
"315","01",7,"Other Fam / Business",5,12489822.0316,252765943.788248,4.94
"316","01",7,"Other Fam / Business",4,86439.435793,252765943.788248,0.03
"317","01",7,"work",1,9339483.942852,252765943.788248,3.69
"318","01",7,"Medical",8,1633703.4294,252765943.788248,0.65
"319","01",7,"work",4,12788364.51296,252765943.788248,5.06
"320","01",7,"Other Fam / Business",3,18096866.659398,252765943.788248,7.16
"321","01",7,"Medical",3,2375197.37787,252765943.788248,0.94
"322","01",7,"Shopping",6,1315219.60976,252765943.788248,0.52
"323","01",7,"Shopping",7,7183274.71192,252765943.788248,2.84
"324","01",7,"Vacation",5,752600.41278,252765943.788248,0.3
"325","01",7,"Shopping",5,10801513.552863,252765943.788248,4.27
"326","01",7,"Visit Friends",4,2198014.0236,252765943.788248,0.87
"327","01",7,"Other Fam / Business",2,3695223.7969,252765943.788248,1.46
"328","01",7,"Visit Friends",7,703171.89615,252765943.788248,0.28
"329","01",7,"Visit Friends",3,4308728.21186,252765943.788248,1.7
"330","01",7,"work",6,262425.64372,252765943.788248,0.1
"331","01",7,"Visit Friends",5,5904828.04531,252765943.788248,2.34
"332","01",7,"Shopping",1,6009170.24213,252765943.788248,2.38
"333","01",7,"Other Fam / Business",6,55298.886225,252765943.788248,0.02
"334","01",7,"Shopping",3,53938002.377733,252765943.788248,21.34
"335","01",7,"Shopping",4,4603484.34058,252765943.788248,1.82
"336","01",7,"Vacation",3,752600.41278,252765943.788248,0.3
"337","01",7,"Other Social/Rec",4,3588638.9147,252765943.788248,1.42
"338","01",7,"Other Social/Rec",5,11747834.132241,252765943.788248,4.65
"339","01",7,"Other Social/Rec",6,11945088.670649,252765943.788248,4.73
"340","01",7,"Other Social/Rec",7,2528747.491734,252765943.788248,1
"341","01",7,"School/Church",2,404099.23007,252765943.788248,0.16
"342","01",7,"School/Church",3,4470112.58967,252765943.788248,1.77
"343","01",7,"School/Church",5,2680641.6736,252765943.788248,1.06
"344","01",7,"School/Church",7,659048.8601,252765943.788248,0.26
"345","01",7,"work",8,13509697.40493,252765943.788248,5.34
"346","01",7,"Shopping",2,15712867.11274,252765943.788248,6.22
"347","01",7,"Other Social/Rec",1,16153873.176768,252765943.788248,6.39
"348","01",7,"Other Social/Rec",2,56321.301601,252765943.788248,0.02
"349","01",7,"Other Social/Rec",3,7614263.111509,252765943.788248,3.01
"350","10",1,"work",2,337964.05994,93579758.509332,0.36
"351","10",1,"work",4,3449541.1954,93579758.509332,3.69
"352","10",1,"work",5,337964.05994,93579758.509332,0.36
"353","10",1,"work",7,3449541.1954,93579758.509332,3.69
"354","10",1,"Shopping",3,8850971.32224,93579758.509332,9.46
"355","10",1,"Shopping",4,7777546.55005,93579758.509332,8.31
"356","10",1,"Shopping",5,4246170.911316,93579758.509332,4.54
"357","10",1,"Vacation",5,200865.691091,93579758.509332,0.21
"358","10",1,"Other Social/Rec",6,232054.205713,93579758.509332,0.25
"359","10",1,"Medical",3,364020.75325,93579758.509332,0.39
"360","10",1,"Vacation",3,200865.691091,93579758.509332,0.21
"361","10",1,"Other Fam / Business",5,2728701.2502,93579758.509332,2.92
"362","10",1,"Visit Friends",6,4672718.7756,93579758.509332,4.99
"363","10",1,"Other Fam / Business",3,719986.88746,93579758.509332,0.77
