"","HHSTFIPS","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"35317","06","Other Social/Rec",1,23,570325.403463,348431949.82957,0.16
"35318","06","Other Social/Rec",2,0,618680.22076,226921476.873262,0.27
"35319","06","Other Social/Rec",2,5,1938641.387105,226921476.873262,0.85
"35320","06","Other Social/Rec",2,6,2766853.745087,226921476.873262,1.22
"35321","06","Other Social/Rec",2,7,6679666.541139,226921476.873262,2.94
"35322","06","Other Social/Rec",2,8,7386297.852134,226921476.873262,3.26
"35323","06","Other Social/Rec",2,9,8879223.440478,226921476.873262,3.91
"35324","06","Other Social/Rec",2,10,8757920.393503,226921476.873262,3.86
"35325","06","Other Social/Rec",2,11,14078679.717321,226921476.873262,6.2
"35326","06","Other Social/Rec",2,12,8125077.061192,226921476.873262,3.58
"35327","06","Other Social/Rec",2,13,10677222.006591,226921476.873262,4.71
"35328","06","Other Social/Rec",2,14,8772304.514589,226921476.873262,3.87
"35329","06","Other Social/Rec",2,15,16199716.911663,226921476.873262,7.14
"35330","06","Other Social/Rec",2,16,20977232.608727,226921476.873262,9.24
"35331","06","Other Social/Rec",2,17,24165724.031069,226921476.873262,10.65
"35332","06","Other Social/Rec",2,18,30526359.293865,226921476.873262,13.45
"35333","06","Other Social/Rec",2,19,25844692.610556,226921476.873262,11.39
"35334","06","Other Social/Rec",2,20,15153980.98527,226921476.873262,6.68
"35335","06","Other Social/Rec",2,21,6286264.835267,226921476.873262,2.77
"35336","06","Other Social/Rec",2,22,2995945.90842,226921476.873262,1.32
"35337","06","Other Social/Rec",2,23,6090992.808526,226921476.873262,2.68
"35338","06","Other Social/Rec",3,0,1037022.47471,248445005.421759,0.42
"35339","06","Other Social/Rec",3,2,425109.87187,248445005.421759,0.17
"35340","06","Other Social/Rec",3,4,425109.87187,248445005.421759,0.17
"35341","06","Other Social/Rec",3,5,2585892.783076,248445005.421759,1.04
"35342","06","Other Social/Rec",3,6,11419559.560197,248445005.421759,4.6
"35343","06","Other Social/Rec",3,7,9861184.079007,248445005.421759,3.97
"35344","06","Other Social/Rec",3,8,7849203.5401,248445005.421759,3.16
"35345","06","Other Social/Rec",3,9,12076215.137582,248445005.421759,4.86
